Sample,pS.trenchii,pS.glynnii
OPA13_4_6m,0.89058435,0.10941565
OPA16_1_6m,0.928369224,0.071630776
PA09_126,0.9569121,0.0430879
PA09_152,0.963897049,0.036102951
PA09_157,0.963897049,0.036102951
PA09_159,0.963897049,0.036102951
PA09_168,0.963897049,0.036102951
PA09_175,0.963897049,0.036102951
PA09_56,0.963897049,0.036102951
PA09_66,0.909444988,0.090555012
PA09_73,0.963897049,0.036102951
PA09_85,0.963897049,0.036102951
PA09_93,0.963897049,0.036102951
PA09_96,0.963897049,0.036102951
A_19,0.963897049,0.036102951
A_21,0.963897049,0.036102951
A_24,0.963897049,0.036102951
A_3,0.963897049,0.036102951
AB_13,0.963897049,0.036102951
AB_18,0.963897049,0.036102951
AB_19,0.963897049,0.036102951
AB_25,0.963897049,0.036102951
AB_29_A,0.963897049,0.036102951
AB_31,0.966964662,0.033035338
AB_37,0.963897049,0.036102951
AB_47,0.963897049,0.036102951
AB_5,0.966964662,0.033035338
AT_15,0.963897049,0.036102951
AT_18,0.966964662,0.033035338
AT_19,0.963897049,0.036102951
AT_20,0.963897049,0.036102951
AT_21,0.966964662,0.033035338
AT_22_A,0.963897049,0.036102951
AT_23,0.963897049,0.036102951
AT_24,0.962378621,0.037621379
AT_5,0.963897049,0.036102951
BAR05_15,0.963897049,0.036102951
BAR05_7,0.963897049,0.036102951
BAR05_70,0.955741465,0.044258535
BAR05_81,0.963897049,0.036102951
BAR05_84,0.963897049,0.036102951
BAR07_101,0.963897049,0.036102951
BAR07_102,0.963897049,0.036102951
BAR07_104,0.963897049,0.036102951
BAR07_107,0.963897049,0.036102951
BAR07_110,0.963897049,0.036102951
BAR07_115,0.875623524,0.124376476
BAR07_116,0.963897049,0.036102951
